entry_id,annotation_type,lpips
1093_2_det0,arrow,0.1541
1437_1_det1,arrow,0.1914
167_1_det0,arrow,0.1686
224_1_det0,arrow,0.2358
230_10_det0,arrow,0.2131
230_10_det2,arrow,0.2031
2364_4_det0,arrow,0.1195
2615_1_det0,arrow,0.1594
2687_1_det0,arrow,0.1535
2751_0_det1,arrow,0.1248
2839_0_det7,arrow,0.2409
2885_3_det0,arrow,0.2058
3046_0_det3,arrow,0.2310
3420_1_det2,number_letter,0.1275
3685_2_det0,arrow,0.1570
3914_1_det1,arrow,0.1154
413_0_det0,arrow,0.1710
4132_1_det0,arrow,0.3358
4365_0_det0,arrow,0.2147
4666_1_det0,arrow,0.1077
4677_0_det0,arrow,0.0804
4677_0_det5,arrow,0.0796
4734_11_det0,arrow,0.0846
4768_0_det0,arrow,0.1775
4924_3_det0,arrow,0.1671
4924_3_det3,arrow,0.1698
4950_4_det1,arrow,0.2372
5037_6_det0,arrow,0.3154
5169_0_det0,arrow,0.3030
52_0_det0,arrow,0.1827
52_2_det0,arrow,0.1506
52_2_det1,arrow,0.1440
543_4_det0,arrow,0.1724
5477_3_det1,arrow,0.2077
567_3_det2,arrow,0.1377
5752_23_det0,arrow,0.1655
5752_38_det0,arrow,0.0930
5888_6_det1,arrow,0.2696
6116_0_det6,arrow,0.1279
6116_1_det0,arrow,0.1047
6198_1_det0,arrow,0.1891
6464_2_det0,arrow,0.2145
6464_4_det0,arrow,0.0854
6464_4_det2,arrow,0.1273
6931_3_det0,arrow,0.1191
7084_0_det0,arrow,0.1241
7346_4_det0,arrow,0.1681
7539_2_det0,number_letter,0.2011
7539_2_det2,number_letter,0.2006
7882_0_det2,arrow,0.1796
8001_1_det0,arrow,0.2534
8032_25_det0,arrow,0.1670
8185_0_det0,arrow,0.1503
8330_0_det13,arrow,0.2181
8329_2_det0,arrow,0.1928
8503_0_det1,arrow,0.0521
8712_1_det0,arrow,0.1742
8731_11_det0,arrow,0.1832
8807_0_det0,arrow,0.1192
8965_0_det1,arrow,0.1447
8929_8_det0,arrow,0.1791
9029_2_det0,arrow,0.2277
9136_1_det0,arrow,0.2294
9207_0_det0,arrow,0.1458
954_1_det0,arrow,0.2483
9574_2_det0,arrow,0.0890
9574_2_det5,arrow,0.1377
972_1_det0,arrow,0.2145
9844_13_det0,arrow,0.2055
9933_2_det3,arrow,0.2036
