entry_id,annotation_type,lpips
1036_0_det2,freeform_bbox,0.2318
1479_0_det0,number_letter,0.3286
1479_0_det2,number_letter,0.3037
1739_5_det4,number_letter,0.2090
1868_0_det1,number_letter,0.1955
1868_0_det2,freeform_bbox,0.4450
1868_0_det7,number_letter,0.1665
1918_0_det3,number_letter,0.1461
1936_1_det1,number_letter,0.2766
1936_1_det2,number_letter,0.3165
1976_0_det2,number_letter,0.3127
1976_0_det3,number_letter,0.3600
1963_0_det0,freeform_bbox,0.4098
2014_4_det3,arrow,0.1404
2044_0_det1,freeform_bbox,0.4029
2081_0_det0,arrow,0.2983
2070_0_det0,freeform_bbox,0.3396
2093_1_det1,arrow,0.4313
2093_1_det2,arrow,0.2382
211_0_det1,arrow,0.3004
2182_2_det1,number_letter,0.2495
2182_2_det2,number_letter,0.2541
2182_3_det2,number_letter,0.3018
224_3_det4,number_letter,0.3294
2264_4_det3,number_letter,0.2634
2846_0_det0,freeform_bbox,0.4431
3242_4_det2,number_letter,0.4063
3289_1_det7,arrow,0.1777
3340_2_det0,number_letter,0.3033
3340_2_det1,number_letter,0.3397
3388_0_det12,arrow,0.3549
3420_1_det3,number_letter,0.3361
3592_0_det3,number_letter,0.2259
3727_1_det2,arrow,0.1569
3813_6_det0,arrow,0.1392
3838_1_det1,number_letter,0.3736
3838_1_det3,number_letter,0.3299
3838_1_det5,number_letter,0.4232
3926_0_det0,number_letter,0.3614
3926_0_det1,number_letter,0.3395
3926_0_det2,number_letter,0.3207
3926_0_det4,number_letter,0.3659
3941_0_det0,freeform_bbox,0.4048
3940_2_det4,arrow,0.1639
4073_0_det0,arrow,0.1943
4160_0_det0,freeform_bbox,0.4330
4152_2_det4,number_letter,0.3291
4169_4_det5,arrow,0.2715
4243_6_det0,arrow,0.2909
4243_6_det7,arrow,0.3138
4315_2_det1,number_letter,0.3166
4315_2_det3,number_letter,0.4457
4315_2_det4,number_letter,0.5136
4315_2_det5,number_letter,0.4731
4315_2_det6,number_letter,0.4635
4315_2_det7,number_letter,0.4818
4366_4_det1,number_letter,0.2004
4468_2_det2,number_letter,0.2143
4547_0_det0,number_letter,0.3304
4612_1_det0,freeform_bbox,0.4761
4612_1_det1,number_letter,0.3936
4612_1_det2,number_letter,0.3350
4612_1_det4,number_letter,0.3065
4612_1_det5,number_letter,0.3321
4612_1_det6,number_letter,0.3699
4612_1_det7,number_letter,0.3274
4612_1_det8,number_letter,0.3126
4621_0_det1,arrow,0.1240
4897_6_det1,freeform_bbox,0.3610
4887_12_det0,freeform_bbox,0.2891
4951_1_det0,number_letter,0.2916
5019_2_det3,arrow,0.2642
5037_2_det0,freeform_bbox,0.5936
5120_0_det0,arrow,0.4293
5120_0_det1,arrow,0.2816
5115_9_det2,freeform_bbox,0.2869
5252_4_det1,number_letter,0.2746
5265_4_det0,number_letter,0.2860
5338_0_det2,number_letter,0.3993
5375_0_det0,arrow,0.1416
5418_0_det0,number_letter,0.2616
5443_6_det1,number_letter,0.1512
5443_6_det6,number_letter,0.1572
5443_6_det11,number_letter,0.3103
5563_6_det2,number_letter,0.1820
5563_6_det3,number_letter,0.1356
5563_6_det5,number_letter,0.1654
5563_6_det6,number_letter,0.1636
5579_0_det0,freeform_bbox,0.4257
5683_4_det0,freeform_bbox,0.3221
59_0_det2,number_letter,0.2151
59_0_det3,number_letter,0.3398
59_0_det5,number_letter,0.3769
59_0_det6,number_letter,0.2505
5888_1_det3,number_letter,0.1164
6036_12_det1,number_letter,0.3088
6175_0_det1,freeform_bbox,0.1317
6469_3_det3,arrow,0.2257
6464_0_det1,arrow,0.3114
6643_2_det1,arrow,0.1823
6916_3_det0,number_letter,0.3786
6916_3_det1,number_letter,0.3840
6916_3_det2,number_letter,0.4124
6916_3_det3,number_letter,0.3429
6916_3_det4,number_letter,0.3734
6916_3_det5,number_letter,0.3132
6916_3_det6,number_letter,0.3590
6916_3_det7,number_letter,0.3169
7116_0_det0,freeform_bbox,0.3124
708_9_det1,number_letter,0.2499
7248_0_det3,arrow,0.0823
738_2_det1,freeform_bbox,0.5183
7423_0_det4,number_letter,0.2018
7423_2_det2,arrow,0.1769
7486_1_det1,arrow,0.2392
7545_1_det2,number_letter,0.3206
7545_1_det3,number_letter,0.3389
7545_1_det4,number_letter,0.3023
7545_1_det6,number_letter,0.4296
7632_0_det1,arrow,0.3186
7739_0_det2,number_letter,0.2386
7719_6_det1,freeform_bbox,0.5065
78_0_det1,freeform_bbox,0.5732
7829_3_det3,arrow,0.3281
7946_6_det0,arrow,0.1842
7946_6_det2,arrow,0.2013
803_1_det1,freeform_bbox,0.5251
8032_20_det1,arrow,0.3038
8121_0_det1,number_letter,0.1909
8263_2_det2,number_letter,0.1988
8330_1_det13,number_letter,0.3576
8313_3_det4,arrow,0.3032
8671_2_det1,arrow,0.2889
8848_1_det1,number_letter,0.3933
8848_1_det2,number_letter,0.4156
8848_1_det3,number_letter,0.2905
8848_1_det4,number_letter,0.3921
8848_1_det5,number_letter,0.3594
8848_1_det6,number_letter,0.4230
8848_1_det8,number_letter,0.3132
8848_1_det9,number_letter,0.3952
8856_7_det0,number_letter,0.1491
8856_7_det1,number_letter,0.1523
8856_7_det4,number_letter,0.1393
8896_6_det2,arrow,0.2321
8965_0_det4,arrow,0.1957
8945_8_det5,arrow,0.1445
8982_5_det1,arrow,0.1294
9064_2_det0,arrow,0.3860
9064_9_det2,arrow,0.2598
9136_0_det10,freeform_bbox,0.2865
9198_0_det3,arrow,0.1653
9207_0_det9,arrow,0.1809
9207_2_det2,arrow,0.3804
9204_5_det0,freeform_bbox,0.4912
9352_0_det5,number_letter,0.2691
9286_7_det0,arrow,0.1179
9441_3_det2,arrow,0.4483
9441_3_det4,number_letter,0.2878
9450_0_det1,arrow,0.3622
965_2_det0,arrow,0.0342
965_2_det1,arrow,0.0522
9960_2_det2,arrow,0.2102
9975_3_det0,arrow,0.3501
999_1_det2,number_letter,0.3732
