entry_id,annotation_type,lpips
1029_0_det0,freeform_bbox,0.3256
1045_1_det1,arrow,0.1398
1379_3_det0,arrow,0.1484
1379_3_det8,arrow,0.1864
1422_5_det1,arrow,0.1795
1561_0_det1,arrow,0.1332
1649_0_det0,arrow,0.0793
1739_5_det1,number_letter,0.1343
1739_5_det3,number_letter,0.1352
1739_5_det6,number_letter,0.1300
1918_0_det1,number_letter,0.1255
1918_0_det2,number_letter,0.1257
1944_0_det0,number_letter,0.0904
1944_0_det1,number_letter,0.0926
1944_0_det4,number_letter,0.0973
2014_4_det0,arrow,0.1266
2014_4_det1,number_letter,0.1231
2044_1_det0,arrow,0.1953
211_0_det0,arrow,0.2446
2182_3_det0,arrow,0.3070
2182_3_det1,number_letter,0.3123
2182_3_det3,number_letter,0.2848
2182_3_det4,number_letter,0.2744
2258_1_det2,arrow,0.1813
2264_4_det0,number_letter,0.1762
2264_4_det2,number_letter,0.1722
2364_4_det2,arrow,0.1300
2364_12_det1,arrow,0.2038
2447_0_det1,number_letter,0.2019
2447_0_det2,number_letter,0.1450
2615_0_det1,arrow,0.3285
2615_1_det2,arrow,0.1627
2687_1_det5,arrow,0.1343
2691_13_det0,arrow,0.1240
2899_0_det0,arrow,0.0602
2899_0_det8,arrow,0.0589
2934_0_det0,number_letter,0.1028
2934_1_det0,arrow,0.1433
3102_10_det0,number_letter,0.2608
3102_10_det6,number_letter,0.2547
3242_4_det0,number_letter,0.3781
3242_7_det0,arrow,0.1781
3285_0_det9,arrow,0.0701
3289_1_det0,arrow,0.1393
3331_0_det0,arrow,0.1730
3340_2_det2,number_letter,0.2798
3388_0_det0,arrow,0.2603
3420_1_det1,number_letter,0.1286
3481_2_det0,arrow,0.1811
3592_0_det1,number_letter,0.2290
3574_2_det0,arrow,0.1030
3813_7_det0,number_letter,0.1531
3813_7_det1,number_letter,0.1645
3834_0_det0,arrow,0.0904
3914_0_det0,arrow,0.2666
3914_0_det2,arrow,0.1337
3940_2_det0,arrow,0.1747
3940_2_det2,arrow,0.1096
4099_0_det0,arrow,0.0839
4099_0_det1,arrow,0.0826
4120_1_det3,arrow,0.2588
4164_0_det1,arrow,0.3631
4152_2_det1,number_letter,0.3235
4236_1_det2,arrow,0.0900
4236_1_det5,arrow,0.0872
4261_1_det0,arrow,0.1840
4297_7_det0,number_letter,0.1056
4365_0_det1,number_letter,0.0286
4365_0_det2,number_letter,0.0168
4365_0_det3,arrow,0.2320
4366_4_det0,number_letter,0.1248
4366_4_det2,number_letter,0.1244
4547_4_det0,arrow,0.1977
4612_2_det0,number_letter,0.2664
4612_2_det1,number_letter,0.2678
4612_2_det2,arrow,0.2699
