entry_id,annotation_type,lpips
1005_1_det0,number_letter,0.1513
1005_1_det1,arrow,0.3603
1005_1_det2,number_letter,0.3565
1005_1_det3,number_letter,0.4434
1029_0_det1,number_letter,0.0952
1029_0_det2,number_letter,0.1241
1029_0_det3,arrow,0.5185
1029_0_det4,number_letter,0.0885
1029_0_det5,number_letter,0.1492
1029_0_det6,number_letter,0.1483
1036_0_det0,arrow,0.2811
1036_0_det1,number_letter,0.1910
1036_0_det3,number_letter,0.2032
1036_0_det4,number_letter,0.2055
1036_0_det5,number_letter,0.2113
1036_0_det6,number_letter,0.1909
1036_0_det7,number_letter,0.2065
1036_0_det8,number_letter,0.1921
1036_0_det9,number_letter,0.2226
1021_2_det0,number_letter,0.3344
1021_2_det2,number_letter,0.2995
1021_2_det3,number_letter,0.4202
1021_2_det4,arrow,0.2881
1045_1_det0,number_letter,0.1956
1045_1_det2,number_letter,0.1799
1045_1_det4,number_letter,0.2002
1045_1_det5,number_letter,0.2115
1079_1_det0,arrow,0.2860
1079_1_det1,freeform_bbox,0.4225
1093_2_det1,number_letter,0.1902
1093_2_det2,number_letter,0.1952
1084_0_det0,freeform_bbox,0.6051
1084_0_det1,number_letter,0.2318
1084_0_det2,number_letter,0.2020
1084_0_det3,number_letter,0.1791
1084_0_det4,number_letter,0.1122
1084_0_det5,number_letter,0.1046
1084_0_det6,number_letter,0.0952
1084_0_det7,number_letter,0.1202
1084_0_det8,number_letter,0.1560
1084_0_det9,arrow,0.1133
1084_0_det10,number_letter,0.1090
1084_1_det0,freeform_bbox,0.6056
1084_1_det1,number_letter,0.2300
1084_1_det2,number_letter,0.1781
1084_1_det3,number_letter,0.1007
1084_1_det4,number_letter,0.3107
1084_1_det5,number_letter,0.0894
1084_1_det6,number_letter,0.1187
1084_1_det7,number_letter,0.1584
1084_1_det8,number_letter,0.2448
1084_1_det9,arrow,0.1079
1084_1_det10,number_letter,0.1378
1084_1_det11,number_letter,0.0848
1084_2_det0,freeform_bbox,0.6043
1084_2_det1,number_letter,0.2253
1084_2_det2,number_letter,0.1927
1084_2_det3,number_letter,0.1726
1084_2_det4,number_letter,0.1177
1084_2_det5,number_letter,0.1616
1084_2_det6,number_letter,0.0987
1084_2_det7,number_letter,0.1065
1084_2_det8,arrow,0.1115
1084_2_det9,number_letter,0.0917
1223_0_det0,freeform_bbox,0.5847
1223_0_det1,number_letter,0.1810
1223_0_det2,arrow,0.2279
1285_1_det0,arrow,0.3310
1285_1_det1,number_letter,0.3008
1285_1_det2,number_letter,0.2692
1285_1_det4,number_letter,0.4121
1298_2_det0,number_letter,0.2047
1298_2_det1,number_letter,0.1135
1298_2_det2,number_letter,0.2185
1298_2_det4,arrow,0.3009
1302_1_det0,arrow,0.1699
1302_1_det1,number_letter,0.1651
1302_1_det2,freeform_bbox,0.4484
1302_1_det3,number_letter,0.1189
1302_1_det4,freeform_bbox,0.3831
1286_4_det0,arrow,0.2327
1286_4_det1,number_letter,0.2719
1286_7_det0,arrow,0.2351
1286_7_det1,number_letter,0.2813
1379_0_det0,number_letter,0.2448
1379_0_det1,arrow,0.3753
1379_0_det2,number_letter,0.2223
1379_0_det3,number_letter,0.2078
1379_0_det4,number_letter,0.1384
1379_0_det6,number_letter,0.2454
1379_0_det7,arrow,0.1870
1379_3_det1,number_letter,0.1658
1379_3_det2,number_letter,0.1797
1379_3_det3,number_letter,0.2266
1379_3_det4,number_letter,0.2033
1379_3_det5,freeform_bbox,0.1239
1379_3_det7,number_letter,0.2311
1422_1_det1,arrow,0.1233
1422_3_det0,arrow,0.1937
1422_5_det2,arrow,0.1638
1437_1_det0,number_letter,0.2479
1437_1_det2,number_letter,0.2644
1437_1_det3,number_letter,0.2463
1437_1_det4,number_letter,0.2459
1437_1_det5,freeform_bbox,0.5718
1437_1_det6,arrow,0.7940
1460_0_det0,freeform_bbox,0.6057
1460_0_det1,arrow,0.3212
1455_2_det0,arrow,0.1469
1455_2_det1,number_letter,0.1436
1455_2_det2,number_letter,0.1749
1455_2_det3,number_letter,0.1247
1455_2_det4,number_letter,0.2614
1455_2_det5,number_letter,0.1536
1455_2_det6,number_letter,0.1271
1455_2_det7,number_letter,0.1395
1455_2_det8,number_letter,0.1376
