entry_id,true_annotation_type,score,matched_iou,n_gt_in_image,matched_unique_base
1005_1_det0,number_letter,0.2657,0.0000,1,
1005_1_det1,arrow,0.2912,0.0000,1,
1005_1_det2,number_letter,0.3050,0.0000,1,
1005_1_det3,number_letter,0.2639,0.0000,1,
1029_0_det0,freeform_bbox,0.4497,0.3450,1,1029_0_1
1029_0_det1,number_letter,0.3135,0.0000,1,
1029_0_det2,number_letter,0.3506,0.0000,1,
1029_0_det3,arrow,0.3855,0.0000,1,
1029_0_det4,number_letter,0.2956,0.0000,1,
1029_0_det5,number_letter,0.3109,0.0000,1,
1029_0_det6,number_letter,0.2620,0.0000,1,
1036_0_det0,arrow,0.5457,0.0000,1,
1036_0_det1,number_letter,0.3715,0.0000,1,
1036_0_det2,freeform_bbox,0.3966,0.1956,1,1036_0_0
1036_0_det3,number_letter,0.3119,0.0000,1,
1036_0_det4,number_letter,0.3025,0.0000,1,
1036_0_det5,number_letter,0.2570,0.0000,1,
1036_0_det6,number_letter,0.3231,0.0000,1,
1036_0_det7,number_letter,0.2758,0.0000,1,
1036_0_det8,number_letter,0.2521,0.0000,1,
1036_0_det9,number_letter,0.2576,0.0000,1,
1021_2_det0,number_letter,0.3093,0.0000,1,
1021_2_det2,number_letter,0.2621,0.0000,1,
1021_2_det3,number_letter,0.2625,0.0000,1,
1021_2_det4,arrow,0.3289,0.0000,1,
1045_1_det0,number_letter,0.3051,0.0000,1,
1045_1_det1,arrow,0.3224,0.5123,1,1045_1_1
1045_1_det2,number_letter,0.2804,0.0000,1,
1045_1_det4,number_letter,0.2576,0.0000,1,
1045_1_det5,number_letter,0.2646,0.0000,1,
1079_1_det0,arrow,0.4852,0.0000,1,
1079_1_det1,freeform_bbox,0.3898,0.0000,1,
1093_2_det0,arrow,0.5235,0.7156,1,1093_2_2
1093_2_det1,number_letter,0.3181,0.0000,1,
1093_2_det2,number_letter,0.3605,0.0000,1,
1084_0_det0,freeform_bbox,0.3988,0.0000,2,
1084_0_det1,number_letter,0.3224,0.0000,2,
1084_0_det2,number_letter,0.2829,0.0000,2,
1084_0_det3,number_letter,0.2657,0.0000,2,
1084_0_det4,number_letter,0.2857,0.0000,2,
1084_0_det5,number_letter,0.2595,0.0000,2,
1084_0_det6,number_letter,0.2556,0.0000,2,
1084_0_det7,number_letter,0.2828,0.0000,2,
1084_0_det8,number_letter,0.2630,0.0000,2,
1084_0_det9,arrow,0.2574,0.0000,2,
1084_0_det10,number_letter,0.2715,0.0000,2,
1084_1_det0,freeform_bbox,0.4012,0.0000,2,
1084_1_det1,number_letter,0.3193,0.0000,2,
1084_1_det2,number_letter,0.2773,0.0000,2,
1084_1_det3,number_letter,0.2726,0.0000,2,
1084_1_det4,number_letter,0.2870,0.0000,2,
1084_1_det5,number_letter,0.2620,0.0000,2,
1084_1_det6,number_letter,0.2810,0.0000,2,
1084_1_det7,number_letter,0.2718,0.0000,2,
1084_1_det8,number_letter,0.2725,0.0000,2,
1084_1_det9,arrow,0.2669,0.0000,2,
1084_1_det10,number_letter,0.2510,0.0000,2,
1084_1_det11,number_letter,0.2563,0.0000,2,
1084_2_det0,freeform_bbox,0.4030,0.0000,3,
1084_2_det1,number_letter,0.3353,0.0000,3,
1084_2_det2,number_letter,0.2896,0.0000,3,
1084_2_det3,number_letter,0.2611,0.0000,3,
1084_2_det4,number_letter,0.2542,0.0000,3,
1084_2_det5,number_letter,0.2721,0.0000,3,
1084_2_det6,number_letter,0.2783,0.0000,3,
1084_2_det7,number_letter,0.2854,0.0000,3,
1084_2_det8,arrow,0.2690,0.0000,3,
1084_2_det9,number_letter,0.2522,0.0000,3,
1223_0_det0,freeform_bbox,0.4464,0.0000,1,
1223_0_det1,number_letter,0.3355,0.0000,1,
1223_0_det2,arrow,0.2612,0.0000,1,
1285_1_det0,arrow,0.4582,0.0000,1,
1285_1_det1,number_letter,0.3919,0.0000,1,
1285_1_det2,number_letter,0.2713,0.0000,1,
1285_1_det4,number_letter,0.3058,0.0000,1,
1298_2_det0,number_letter,0.3568,0.0000,1,
1298_2_det1,number_letter,0.2721,0.0000,1,
1298_2_det2,number_letter,0.3162,0.0000,1,
1298_2_det4,arrow,0.2755,0.0000,1,
1302_1_det0,arrow,0.3819,0.0000,2,
1302_1_det1,number_letter,0.3553,0.0000,2,
1302_1_det2,freeform_bbox,0.3294,0.0000,2,
1302_1_det3,number_letter,0.2889,0.0000,2,
1302_1_det4,freeform_bbox,0.3148,0.0204,2,1302_1_7
1286_4_det0,arrow,0.5045,0.0000,1,
1286_4_det1,number_letter,0.3609,0.0000,1,
1286_7_det0,arrow,0.5117,0.0000,1,
1286_7_det1,number_letter,0.3863,0.0000,1,
1379_0_det0,number_letter,0.3178,0.0000,1,
1379_0_det1,arrow,0.2867,0.0000,1,
1379_0_det2,number_letter,0.2664,0.0000,1,
1379_0_det3,number_letter,0.2534,0.0000,1,
